"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_daemon_command_uses_module_form_in_source_checkout","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_persona_registry_loads_persona_by_tag","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Personas","",""
"","0","test_install_writes_plist_and_bootstraps","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_start_when_inactive_invokes_systemctl_start","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_start_when_stopped_kickstarts","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_status_running_when_pid_present","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_manifest_accepts_minimal_shape","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Manifest","",""
"","0","test_status_normalizes_active_to_running","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_agent_uses_default_empty_message_hint","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Agent","",""
"","1","test_agent_manager_reports_unknown_agent","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","0","test_create_agent_requires_runtime_agent_name","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Agent","",""
"","1","test_agent_manager_reports_missing_key","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Daemon core","",""
