"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_start_when_stopped_calls_startservice","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_service_windows","",""
"","0","test_status_normalizes_active_to_running","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","0","test_uninstall_warns_on_real_disable_failure","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","0","test_uninstall_removes_plist_and_boots_out","tests","Wed Jun 10 14:59:52 UTC 2026","skipped","Wed Jun 10 14:59:52 UTC 2026","","test_service_launchd","",""
"","0","test_install_restores_previous_plist_when_bootstrap_fails","tests","Wed Jun 10 14:59:52 UTC 2026","skipped","Wed Jun 10 14:59:52 UTC 2026","","test_service_launchd","",""
"","0","test_manifest_accepts_declared_capabilities","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_manifest","",""
"","0","test_status_normalizes_active_to_running","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_systemd","",""
"","0","test_persona_registry_rejects_unknown_tag","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_personas","",""
"","1","test_status_normalizes_reloading_to_running","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","1","test_skill_registry_loads_named_skill","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_skills","",""
"","0","test_status_running_when_pid_present","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","1","test_runtime_does_not_gate_declared_capabilities_on_action_identity","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_runtime","",""
"","0","test_chat_shows_hint_on_empty_message","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_runner","",""
"","0","test_status_normalizes_reloading_to_running","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_systemd","",""
"","0","test_install_writes_unit_and_enables","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_systemd","",""
"","1","test_install_restores_previous_plist_when_bootstrap_fails","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","0","test_keys_config_for_provider_filters_by_type","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_key_config","",""
"","1","test_agent_manager_reports_missing_key","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_daemon","",""
"","1","test_parse_skill_reads_frontmatter_and_instructions","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_skills","",""
"","0","test_manifest_rejects_unknown_fields","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_manifest","",""
"","0","test_key_config_round_trips","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_key_config","",""
"","2645","test_action_planes_add_and_list","tests.integration","Wed Jun 10 15:02:00 UTC 2026","passed","Wed Jun 10 15:02:03 UTC 2026","","test_cli_smoke","",""
"","0","test_static_provider_returns_configured_response","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_providers","",""
"","1092","test_keys_list_empty","tests.integration","Wed Jun 10 15:01:24 UTC 2026","passed","Wed Jun 10 15:01:25 UTC 2026","","test_cli_smoke","",""
"","0","test_systemctl_missing_raises_with_foreground_hint","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","1","test_daemon_lists_no_agents","tests.integration","Wed Jun 10 15:03:25 UTC 2026","passed","Wed Jun 10 15:03:25 UTC 2026","","test_daemon_lifecycle","",""
"","1","test_agent_manager_routes_messages_to_running_agent","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_daemon","",""
"","0","test_daemon_command_uses_subcommand_form_when_frozen","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","0","test_prompt_assembler_separates_agent_name_from_persona","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_prompt","",""
